OBJECTID,FIPS,Tract_Name,Tract_FIPS,County,Area_Land_Square_Miles,Area_Water_Square_Miles,Population_Total,Population_Density_PerLandSquareMile
534,8123001409,"Census Tract 14.09, Weld County, Colorado",8123001409,WELD,1.11,0,3271,2946.8
535,8123001411,"Census Tract 14.11, Weld County, Colorado",8123001411,WELD,0.99,0,2448,2472.7
536,8047013800,"Census Tract 138, Gilpin County, Colorado",8047013800,GILPIN,149.9,0.36,5793,38.6
537,8031980000,"Census Tract 9800, Denver County, Colorado",8031980000,DENVER,42.27,0.01,1428,33.8
538,8071000800,"Census Tract 8, Las Animas County, Colorado",8071000800,LAS ANIMAS,3763.88,0.23,2660,0.7
539,8071000100,"Census Tract 1, Las Animas County, Colorado",8071000100,LAS ANIMAS,309.17,0.05,3187,10.3
540,8071000200,"Census Tract 2, Las Animas County, Colorado",8071000200,LAS ANIMAS,1.58,0,2190,1386.1
541,8071000300,"Census Tract 3, Las Animas County, Colorado",8071000300,LAS ANIMAS,630.96,2.39,2155,3.4
542,8071000500,"Census Tract 5, Las Animas County, Colorado",8071000500,LAS ANIMAS,28.12,0,1808,64.3
543,8071000400,"Census Tract 4, Las Animas County, Colorado",8071000400,LAS ANIMAS,38.95,0,2151,55.2
544,8043979400,"Census Tract 9794, Fremont County, Colorado",8043979400,FREMONT,141.01,0.4,3198,22.7
545,8043980200,"Census Tract 9802, Fremont County, Colorado",8043980200,FREMONT,1,0,2863,2863
546,8043979100,"Census Tract 9791, Fremont County, Colorado",8043979100,FREMONT,6.22,0.04,3047,489.9
547,8043978100,"Census Tract 9781, Fremont County, Colorado",8043978100,FREMONT,162.78,0.14,3732,22.9
548,8043978200,"Census Tract 9782, Fremont County, Colorado",8043978200,FREMONT,15.7,0.11,3629,231.1
549,8043980300,"Census Tract 9803, Fremont County, Colorado",8043980300,FREMONT,5.3,0.06,5568,1050.6
550,8043979200,"Census Tract 9792, Fremont County, Colorado",8043979200,FREMONT,97.6,0.02,1674,17.2
551,8043978800,"Census Tract 9788, Fremont County, Colorado",8043978800,FREMONT,1.95,0,2611,1339
552,8043980100,"Census Tract 9801, Fremont County, Colorado",8043980100,FREMONT,0.26,0,486,1869.2
553,8043978600,"Census Tract 9786, Fremont County, Colorado",8043978600,FREMONT,0.95,0,3436,3616.8
554,8043978300,"Census Tract 9783, Fremont County, Colorado",8043978300,FREMONT,79.15,0,5213,65.9
